Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
S3Mock,com.adobe.testing.s3mock,ObjectController,getObject,Long Parameter List,The method has 6 parameters. ,186
S3Mock,com.adobe.testing.s3mock,ObjectController,getObject,Long Statement,The length of the statement "return ResponseEntity.ok().eTag("\"" + s3ObjectMetadata.getEtag() + "\"").header(HttpHeaders.CONTENT_ENCODING`s3ObjectMetadata.getContentEncoding()).header(HttpHeaders.ACCEPT_RANGES`RANGES_BYTES).headers(headers -> headers.setAll(createUserMetadataHeaders(s3ObjectMetadata))).headers(headers -> headers.setAll(createEncryptionHeaders(s3ObjectMetadata))).lastModified(s3ObjectMetadata.getLastModified()).contentLength(s3ObjectMetadata.getDataPath().toFile().length()).contentType(parseMediaType(s3ObjectMetadata.getContentType())).headers(headers -> headers.setAll(createOverrideHeaders(queryParams))).body(outputStream -> Files.copy(s3ObjectMetadata.getDataPath()`outputStream));" is 679.,186
S3Mock,com.adobe.testing.s3mock,ObjectController,getObjectTagging,Long Statement,The length of the statement "return ResponseEntity.ok().eTag("\"" + s3ObjectMetadata.getEtag() + "\"").lastModified(s3ObjectMetadata.getLastModified()).body(result);" is 136.,235
S3Mock,com.adobe.testing.s3mock,ObjectController,putObjectTagging,Long Statement,The length of the statement "return ResponseEntity.ok().eTag("\"" + s3ObjectMetadata.getEtag() + "\"").lastModified(s3ObjectMetadata.getLastModified()).build();" is 131.,265
S3Mock,com.adobe.testing.s3mock,ObjectController,putObject,Long Parameter List,The method has 11 parameters. ,293
S3Mock,com.adobe.testing.s3mock,ObjectController,putObject,Long Statement,The length of the statement "S3ObjectMetadata s3ObjectMetadata=objectService.putS3Object(bucketName`key.getKey()`parseMediaType(contentType).toString()`contentEncoding`stream`isV4ChunkedWithSigningEnabled(sha256Header)`userMetadata`encryption`kmsKeyId`tags);" is 229.,293
S3Mock,com.adobe.testing.s3mock,ObjectController,putObject,Long Statement,The length of the statement "return ResponseEntity.ok().eTag("\"" + s3ObjectMetadata.getEtag() + "\"").lastModified(s3ObjectMetadata.getLastModified()).header(X_AMZ_SERVER_SIDE_ENCRYPTION_AWS_KMS_KEY_ID`kmsKeyId).build();" is 192.,293
S3Mock,com.adobe.testing.s3mock,ObjectController,copyObject,Long Parameter List,The method has 7 parameters. ,352
S3Mock,com.adobe.testing.s3mock,ObjectController,copyObject,Long Statement,The length of the statement "CopyObjectResult copyObjectResult=objectService.copyS3Object(copySource.getBucket()`copySource.getKey()`bucketName`key.getKey()`encryption`kmsKeyId`metadata);" is 158.,352
S3Mock,com.adobe.testing.s3mock,ObjectController,getObjectWithRange,Long Statement,The length of the statement "return ResponseEntity.status(PARTIAL_CONTENT.value()).headers(headers -> headers.setAll(createUserMetadataHeaders(s3ObjectMetadata))).headers(headers -> headers.setAll(createEncryptionHeaders(s3ObjectMetadata))).header(HttpHeaders.ACCEPT_RANGES`RANGES_BYTES).header(HttpHeaders.CONTENT_RANGE`String.format("bytes %s-%s/%s"`range.getStart()`bytesToRead + range.getStart() - 1`s3ObjectMetadata.getSize())).eTag("\"" + s3ObjectMetadata.getEtag() + "\"").contentType(parseMediaType(s3ObjectMetadata.getContentType())).lastModified(s3ObjectMetadata.getLastModified()).contentLength(bytesToRead).body(outputStream -> {" is 612.,409
S3Mock,com.adobe.testing.s3mock,S3MockApplication,start,Long Identifier,The length of the field DEFAULT_SERVER_SSL_KEY_STORE_PASSWORD is 37.,148
S3Mock,com.adobe.testing.s3mock,S3MockApplication,start,Long Identifier,The length of the field DEFAULT_SERVER_SSL_KEY_PASSWORD is 31.,148
S3Mock,com.adobe.testing.s3mock,S3MockApplication,start,Long Statement,The length of the statement "final ConfigurableApplicationContext ctx=new SpringApplicationBuilder(S3MockApplication.class).properties(translateLegacyProperties(defaults)).properties(translateLegacyProperties(properties)).bannerMode(bannerMode).run(args);" is 226.,148
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration,logFilter,Magic Number,The method contains a magic number: 10000,96
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListBuckets_Ok,Long Statement,The length of the statement "mockMvc.perform(get("/").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(expected)));" is 314.,83
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListBuckets_Empty,Long Statement,The length of the statement "mockMvc.perform(get("/").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(expected)));" is 314.,100
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testHeadBucket_Ok,Long Statement,The length of the statement "mockMvc.perform(head("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk());" is 160.,115
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testHeadBucket_NotFound,Long Statement,The length of the statement "mockMvc.perform(head("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isNotFound());" is 166.,126
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testCreateBucket_Ok,Long Statement,The length of the statement "mockMvc.perform(put("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk());" is 159.,138
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testCreateBucket_InternalServerError,Long Statement,The length of the statement "mockMvc.perform(put("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isInternalServerError());" is 176.,147
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testDeleteBucket_NoContent,Long Statement,The length of the statement "mockMvc.perform(delete("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isNoContent());" is 169.,159
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testDeleteBucket_NotFound,Long Statement,The length of the statement "mockMvc.perform(delete("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isNotFound()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(errorResponse)));" is 257.,172
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testDeleteBucket_Conflict,Long Statement,The length of the statement "mockMvc.perform(delete("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isConflict()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(errorResponse)));" is 257.,187
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testDeleteBucket_InternalServerError,Long Statement,The length of the statement "mockMvc.perform(delete("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isInternalServerError());" is 179.,205
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_BadRequest,Long Statement,The length of the statement "mockMvc.perform(get("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML).queryParam(MAX_KEYS`String.valueOf(maxKeys))).andExpect(MockMvcResultMatchers.status().isBadRequest()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(maxKeysError)));" is 300.,220
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_BadRequest,Long Statement,The length of the statement "mockMvc.perform(get("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML).queryParam(ENCODING_TYPE`encodingtype)).andExpect(MockMvcResultMatchers.status().isBadRequest()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(encodingTypeError)));" is 299.,220
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_BadRequest,Long Statement,The length of the statement "mockMvc.perform(get("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML).param("list-type"`"2").queryParam(MAX_KEYS`String.valueOf(maxKeys))).andExpect(MockMvcResultMatchers.status().isBadRequest()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(maxKeysError)));" is 323.,248
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_BadRequest,Long Statement,The length of the statement "mockMvc.perform(get("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML).param("list-type"`"2").queryParam(ENCODING_TYPE`encodingtype)).andExpect(MockMvcResultMatchers.status().isBadRequest()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(encodingTypeError)));" is 322.,248
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_InternalServerError,Long Statement,The length of the statement "when(bucketService.listObjectsV1(TEST_BUCKET_NAME`null`null`null`null`1000)).thenThrow(new IllegalStateException("THIS IS EXPECTED"));" is 134.,278
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_InternalServerError,Long Statement,The length of the statement "mockMvc.perform(get("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isInternalServerError());" is 176.,278
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_InternalServerError,Magic Number,The method contains a magic number: 1000,278
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_InternalServerError,Long Statement,The length of the statement "when(bucketService.listObjectsV2(TEST_BUCKET_NAME`null`null`null`null`1000`null)).thenThrow(new IllegalStateException("THIS IS EXPECTED"));" is 139.,291
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_InternalServerError,Long Statement,The length of the statement "mockMvc.perform(get("/test-bucket").param("list-type"`"2").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isInternalServerError());" is 199.,291
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_InternalServerError,Magic Number,The method contains a magic number: 1000,291
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_Ok,Long Statement,The length of the statement "ListBucketResult expected=new ListBucketResult(TEST_BUCKET_NAME`null`null`1000`false`null`null`Collections.singletonList(s3Object)`Collections.emptyList());" is 156.,305
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_Ok,Long Statement,The length of the statement "mockMvc.perform(get("/test-bucket").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(expected)));" is 325.,305
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_Ok,Magic Number,The method contains a magic number: 1000,305
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_Ok,Magic Number,The method contains a magic number: 1000,305
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_Ok,Long Statement,The length of the statement "ListBucketResultV2 expected=new ListBucketResultV2(TEST_BUCKET_NAME`null`1000`false`Collections.singletonList(s3Object)`Collections.emptyList()`null`null`null`null`null);" is 170.,326
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_Ok,Long Statement,The length of the statement "mockMvc.perform(get("/test-bucket").param("list-type"`"2").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(expected)));" is 348.,326
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_Ok,Magic Number,The method contains a magic number: 1000,326
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_Ok,Magic Number,The method contains a magic number: 1000,326
S3Mock,com.adobe.testing.s3mock,ContextPathObjectStoreControllerTest,testListBuckets_Ok,Long Statement,The length of the statement "mockMvc.perform(get("/s3-mock/").accept(MediaType.APPLICATION_XML).contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.content().contentType(MediaType.APPLICATION_XML)).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(expected)));" is 322.,68
S3Mock,com.adobe.testing.s3mock,FaviconControllerTest,testFavicon,Long Statement,The length of the statement "MockHttpServletResponse response=mvc.perform(get("/favicon.ico").accept(MediaType.APPLICATION_JSON)).andReturn().getResponse();" is 127.,48
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_uploadTooSmall,Long Statement,The length of the statement "doThrow(ENTITY_TOO_SMALL).when(multipartService).verifyMultipartParts(eq(TEST_BUCKET_NAME)`eq(key)`eq(uploadId)`anyList());" is 123.,76
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_uploadTooSmall,Long Statement,The length of the statement "mockMvc.perform(post("/test-bucket/" + key).accept(MediaType.APPLICATION_XML).content(MAPPER.writeValueAsString(uploadRequest)).param("uploadId"`uploadId)).andExpect(MockMvcResultMatchers.status().isBadRequest()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(errorResponse)));" is 302.,76
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_uploadTooSmall,Magic Number,The method contains a magic number: 5L,76
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_uploadTooSmall,Magic Number,The method contains a magic number: 5L,76
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_uploadIdNotFound,Long Statement,The length of the statement "doThrow(NO_SUCH_UPLOAD_MULTIPART).when(multipartService).verifyMultipartParts(eq(TEST_BUCKET_NAME)`anyString()`eq(uploadId)`anyList());" is 135.,104
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_uploadIdNotFound,Long Statement,The length of the statement "mockMvc.perform(post("/test-bucket/" + key).accept(MediaType.APPLICATION_XML).content(MAPPER.writeValueAsString(uploadRequest)).param("uploadId"`uploadId)).andExpect(MockMvcResultMatchers.status().isNotFound()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(errorResponse)));" is 300.,104
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_uploadIdNotFound,Magic Number,The method contains a magic number: 5L,104
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_uploadIdNotFound,Magic Number,The method contains a magic number: 5L,104
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_partNotFound,Long Statement,The length of the statement "mockMvc.perform(post("/test-bucket/" + key).accept(MediaType.APPLICATION_XML).content(MAPPER.writeValueAsString(uploadRequest)).param("uploadId"`uploadId)).andExpect(MockMvcResultMatchers.status().isBadRequest()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(errorResponse)));" is 302.,133
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_partNotFound,Magic Number,The method contains a magic number: 5L,133
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,Long Statement,The length of the statement "doThrow(INVALID_PART_ORDER).when(multipartService).verifyMultipartParts(eq(TEST_BUCKET_NAME)`eq(key)`eq(uploadId)`anyList());" is 125.,161
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,Long Statement,The length of the statement "mockMvc.perform(post("/test-bucket/" + key).accept(MediaType.APPLICATION_XML).content(MAPPER.writeValueAsString(uploadRequest)).param("uploadId"`uploadId)).andExpect(MockMvcResultMatchers.status().isBadRequest()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(errorResponse)));" is 302.,161
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,Magic Number,The method contains a magic number: 5L,161
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,Magic Number,The method contains a magic number: 5L,161
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testPutObject_Ok,Long Statement,The length of the statement "when(objectService.putS3Object(eq(TEST_BUCKET_NAME)`eq(key)`contains(MediaType.TEXT_PLAIN_VALUE)`isNull()`isNull()`eq(false)`anyMap()`isNull()`isNull()`isNull())).thenReturn(s3ObjectMetadata(key`digest));" is 204.,77
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testPutObject_Ok,Long Statement,The length of the statement "mockMvc.perform(put("/test-bucket/" + key).accept(MediaType.APPLICATION_XML).contentType(MediaType.TEXT_PLAIN_VALUE).content(FileUtils.readFileToByteArray(testFile))).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.header().string("etag"`"\"" + digest + "\""));" is 294.,77
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testPutObject_md5_Ok,Long Statement,The length of the statement "when(objectService.putS3Object(eq(TEST_BUCKET_NAME)`eq(key)`contains(MediaType.TEXT_PLAIN_VALUE)`isNull()`isNull()`eq(false)`anyMap()`isNull()`isNull()`isNull())).thenReturn(s3ObjectMetadata(key`hexDigest));" is 207.,99
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testPutObject_md5_Ok,Long Statement,The length of the statement "mockMvc.perform(put("/test-bucket/" + key).accept(MediaType.APPLICATION_XML).contentType(MediaType.TEXT_PLAIN_VALUE).header(CONTENT_MD5`base64Digest).content(FileUtils.readFileToByteArray(testFile))).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.header().string("etag"`"\"" + hexDigest + "\""));" is 330.,99
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testPutObject_md5_BadRequest,Long Statement,The length of the statement "mockMvc.perform(put("/test-bucket/" + key).accept(MediaType.APPLICATION_XML).contentType(MediaType.TEXT_PLAIN_VALUE).content(FileUtils.readFileToByteArray(testFile)).header(CONTENT_MD5`base64Digest + 1)).andExpect(MockMvcResultMatchers.status().isBadRequest());" is 261.,123
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testGetObject_Encrypted_Ok,Long Statement,The length of the statement "mockMvc.perform(get("/test-bucket/" + key)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.header().string(X_AMZ_SERVER_SIDE_ENCRYPTION`encryption)).andExpect(MockMvcResultMatchers.header().string(X_AMZ_SERVER_SIDE_ENCRYPTION_AWS_KMS_KEY_ID`encryptionKey));" is 291.,143
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testHeadObject_Encrypted_Ok,Long Statement,The length of the statement "mockMvc.perform(head("/test-bucket/" + key)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.header().string(X_AMZ_SERVER_SIDE_ENCRYPTION`encryption)).andExpect(MockMvcResultMatchers.header().string(X_AMZ_SERVER_SIDE_ENCRYPTION_AWS_KMS_KEY_ID`encryptionKey));" is 292.,162
S3Mock,com.adobe.testing.s3mock,TaggingHeaderConverterTest,testMultipleTagConversion,Magic Number,The method contains a magic number: 2,37
S3Mock,com.adobe.testing.s3mock.dto,CopySource,extractBucketAndKeyArray,Magic Number,The method contains a magic number: 2,60
S3Mock,com.adobe.testing.s3mock.dto,CopySource,extractBucketAndKeyArray,Magic Number,The method contains a magic number: 2,60
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResult,ListBucketResult,Long Parameter List,The method has 9 parameters. ,66
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2,ListBucketResultV2,Long Parameter List,The method has 11 parameters. ,72
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResult,ListMultipartUploadsResult,Long Parameter List,The method has 11 parameters. ,57
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,MultipartUpload,Long Parameter List,The method has 5 parameters. ,43
S3Mock,com.adobe.testing.s3mock.dto,Part,equals,Long Statement,The length of the statement "return Objects.equals(partNumber`part.partNumber) && Objects.equals(lastModified`part.lastModified) && Objects.equals(etag`part.etag)&& Objects.equals(size`part.size);" is 167.,53
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,Long Statement,The length of the statement "range=new Range(rangeStart == null ? 0L : Long.parseLong(rangeStart)`(StringUtils.isEmpty(rangeEnd) ? Long.MAX_VALUE : Long.parseLong(rangeEnd)));" is 146.,39
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,Magic Number,The method contains a magic number: 2,39
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,Magic Number,The method contains a magic number: 3,39
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,Magic Number,The method contains a magic number: 5,39
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,Magic Number,The method contains a magic number: 4,39
S3Mock,com.adobe.testing.s3mock.dto,S3Object,S3Object,Long Parameter List,The method has 6 parameters. ,52
S3Mock,com.adobe.testing.s3mock.dto,S3Object,from,Long Statement,The length of the statement "return new S3Object(s3ObjectMetadata.getKey()`s3ObjectMetadata.getModificationDate()`s3ObjectMetadata.getEtag()`s3ObjectMetadata.getSize()`StorageClass.STANDARD`Owner.DEFAULT_OWNER);" is 182.,66
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResultTest,testSerialization,Magic Number,The method contains a magic number: 1514477008120L,28
S3Mock,com.adobe.testing.s3mock.dto,DeleteResultTest,testSerialization,Magic Number,The method contains a magic number: 2,26
S3Mock,com.adobe.testing.s3mock.dto,DeleteTest,testDeserialization,Magic Number,The method contains a magic number: 2,28
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResultTest,testSerialization,Magic Number,The method contains a magic number: 10L,30
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResultTest,testSerialization,Magic Number,The method contains a magic number: 2,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,testSerialization,Long Statement,The length of the statement "ListBucketResult iut=new ListBucketResult("bucketName"`"prefix/"`"marker"`1000`false`"url"`"nextMarker"`createBucketContents(2)`Arrays.asList("prefix1/"`"prefix2/"));" is 166.,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,testSerialization,Magic Number,The method contains a magic number: 1000,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,testSerialization,Magic Number,The method contains a magic number: 2,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,createBucketContents,Long Statement,The length of the statement "S3Object s3Object=new S3Object("key" + i`"2009-10-12T17:50:30.000Z"`"fba9dede5f27731c9771645a39863328"`"434234"`StorageClass.STANDARD`new Owner(10L + i`"displayName"));" is 168.,39
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,createBucketContents,Magic Number,The method contains a magic number: 10L,39
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,testSerialization,Long Statement,The length of the statement "ListBucketResultV2 iut=new ListBucketResultV2("bucketName"`"prefix/"`1000`false`createBucketContents(2)`Arrays.asList("prefix1/"`"prefix2/")`"continuationToken"`"2"`"nextContinuationToken"`"startAfter"`"url");" is 209.,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,testSerialization,Magic Number,The method contains a magic number: 1000,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,testSerialization,Magic Number,The method contains a magic number: 2,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,createBucketContents,Long Statement,The length of the statement "S3Object s3Object=new S3Object("key" + i`"2009-10-12T17:50:30.000Z"`"fba9dede5f27731c9771645a39863328"`"434234"`StorageClass.STANDARD`new Owner(10L + i`"displayName"));" is 168.,40
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,createBucketContents,Magic Number,The method contains a magic number: 10L,40
